,rank,hour,min,name,job,jobtype,location,totalprice,count
0,1,0,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,0,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,0,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,0,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,1,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,1,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,1,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,1,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,2,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,2,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,2,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,2,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,3,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,3,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,3,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,3,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,4,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,4,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,4,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,4,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,5,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,5,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,5,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,5,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,6,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,6,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,6,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,6,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,7,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,7,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,7,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,7,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,8,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,8,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,8,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,8,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,9,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,9,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,9,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,9,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,10,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,10,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,10,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,10,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,11,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,11,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,11,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,11,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,12,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,12,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,12,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,12,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,13,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,13,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,13,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,13,45,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,14,0,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,14,15,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
0,1,14,30,Sten Sanjorge Jr.,President/CEO,Executive,null,0.0,1
