,carID,h,m,lat,long,name,L1,L2
0,4,6,42,36.07821802,24.87211693,Ingrid Barranco,2.1500891399998068,1.8219283937688746
0,4,6,42,36.07819928,24.87204985,Ingrid Barranco,2.152251659999756,1.8214887744877835
0,4,6,42,36.07821375,24.87197536,Ingrid Barranco,2.1567698699999376,1.8230804388146542
0,4,6,42,36.07821786,24.87169683,Ingrid Barranco,2.1706644399998396,1.8261556668644543
0,4,6,42,36.07823704,24.871516,Ingrid Barranco,2.180675909999632,1.829171356032544
0,4,6,42,36.07822455,24.87143874,Ingrid Barranco,2.183712249999928,1.829260282264698
0,4,6,42,36.07817303,24.87141659,Ingrid Barranco,2.181706399999932,1.8264804440097906
0,4,6,42,36.07805754,24.87143023,Ingrid Barranco,2.174108639999883,1.8195728180204642
0,4,6,42,36.0779751,24.87146281,Ingrid Barranco,2.167565819999929,1.8143968627431477
0,4,6,42,36.07789276,24.87144376,Ingrid Barranco,2.1635588699996937,1.8097817117663586
0,4,6,42,36.07781173,24.871475,Ingrid Barranco,2.1571663099997807,1.804702319873868
0,4,6,42,36.07754562,24.87147211,Ingrid Barranco,2.1413413199999347,1.7891608242521708
0,4,6,42,36.0774463,24.87146741,Ingrid Barranco,2.1356124199996067,1.7834017007977034
0,4,6,42,36.07736708,24.87147628,Ingrid Barranco,2.1304245899998975,1.7786711101084447
0,4,6,42,36.07718717,24.87147077,Ingrid Barranco,2.119899979999957,1.768210357349916
0,4,6,42,36.07712181,24.87147241,Ingrid Barranco,2.1158980199998823,1.7643709173815143
0,4,6,42,36.07701292,24.8714642,Ingrid Barranco,2.109766909999923,1.7580962383624992
0,4,6,42,36.07684445,24.87144652,Ingrid Barranco,2.100525029999975,1.7484477396068552
0,4,6,42,36.07675526,24.8714532,Ingrid Barranco,2.0948463099996246,1.7431625357603204
0,4,6,42,36.07666145,24.87143226,Ingrid Barranco,2.0902437700000043,1.73791790125525
0,4,6,42,36.07659559,24.87142913,Ingrid Barranco,2.0864455399995947,1.7341071810650712
0,4,6,42,36.07649632,24.87140746,Ingrid Barranco,2.0815511699995533,1.728556524767476
0,4,6,42,36.07641612,24.87140297,Ingrid Barranco,2.076959179999694,1.7239264691334568
0,4,6,42,36.07632621,24.87140016,Ingrid Barranco,2.0717022699996086,1.7187116872413795
0,4,6,42,36.07625075,24.87137847,Ingrid Barranco,2.068237479999759,1.7145573370844682
0,4,6,42,36.07616036,24.87139078,Ingrid Barranco,2.0622108899999994,1.7091435399398947
0,4,6,42,36.07614772,24.87129491,Ingrid Barranco,2.0661501199998753,1.7095142045376663
0,4,6,42,36.07614312,24.87121488,Ingrid Barranco,2.0697955899996074,1.710180419661422
0,4,6,42,36.07613713,24.87113986,Ingrid Barranco,2.0731121699997423,1.7107151955439381
0,4,6,42,36.07612338,24.87105508,Ingrid Barranco,2.0764413899996015,1.7109227331639996
0,4,6,42,36.07612666,24.87095381,Ingrid Barranco,2.0816004199997735,1.7123300989491543
0,4,6,42,36.07613274,24.8708848,Ingrid Barranco,2.0853467099997225,1.71352019179419
0,4,6,42,36.07613616,24.87078024,Ingrid Barranco,2.090675349999671,1.714998235488662
0,4,6,42,36.07612505,24.8706853,Ingrid Barranco,2.0946608099997803,1.7155274352791041
0,4,6,42,36.07614146,24.8706141,Ingrid Barranco,2.0991342099998533,1.7173678527778935
0,4,6,42,36.07613004,24.87052952,Ingrid Barranco,2.1025934299998283,1.7177693163287617
0,4,6,42,36.07614245,24.87044389,Ingrid Barranco,2.107533899999666,1.7195749279792556
0,4,6,42,36.07612097,24.87034511,Ingrid Barranco,2.1110853199997024,1.7195962369411697
0,4,6,42,36.07612056,24.87027053,Ingrid Barranco,2.1147151399997846,1.7205365750227106
0,4,6,42,36.07613538,24.87017116,Ingrid Barranco,2.1204734699994745,1.7226891443408505
0,4,6,42,36.0761346,24.87007543,Ingrid Barranco,2.1251174399999506,1.723903820011742
0,4,6,42,36.07612128,24.86998831,Ingrid Barranco,2.1285871199998994,1.7242915475354406
0,4,6,42,36.07606217,24.86996384,Ingrid Barranco,2.1262395499997453,1.7212066370025292
0,4,6,42,36.07598434,24.86994956,Ingrid Barranco,2.122269469999715,1.7169072181353098
0,4,6,42,36.07590719,24.86992237,Ingrid Barranco,2.1189727799998437,1.7128237004185045
0,4,6,42,36.07581086,24.86989883,Ingrid Barranco,2.114346439999572,1.7075887582371663
0,4,6,42,36.07572511,24.86987593,Ingrid Barranco,2.110323539999829,1.7029589784469612
0,4,6,42,36.07556124,24.86984662,Ingrid Barranco,2.1019275299996707,1.693922423237441
0,4,6,42,36.07546514,24.86983401,Ingrid Barranco,2.096779419999592,1.6885643374839265
0,4,6,42,36.07538138,24.86980555,Ingrid Barranco,2.093148360000008,1.684139599317977
0,4,6,42,36.07530584,24.86979306,Ingrid Barranco,2.0892279699997154,1.6799687773917953
